"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C56","0402_C","21.285mm","15.748mm","21.292mm","15.748mm","21.717mm","15.748mm","T","180","100nF"
"C55","0402_C","22.479mm","17.272mm","22.479mm","17.272mm","22.479mm","16.847mm","T","90","100nF"
"C54","0402_C","24.003mm","24.003mm","24.003mm","24.003mm","24.003mm","23.578mm","T","90","100nF"
"C53","0402_C","19.05mm","17.272mm","19.05mm","17.272mm","19.05mm","16.847mm","T","90","100nF"
"C52","0402_C","20.447mm","23.774mm","20.447mm","23.793mm","20.447mm","23.368mm","T","90","100nF"
"C51","0402_C","21.844mm","4.445mm","21.844mm","4.445mm","21.419mm","4.445mm","T","0","100nF"
"C50","0402_C","21.336mm","6.35mm","21.336mm","6.35mm","21.336mm","5.925mm","T","90","100nF"
"C49","0402_C","11.811mm","22.098mm","11.811mm","22.098mm","11.811mm","21.673mm","T","90","100nF"
"C48","0402_C","15.367mm","18.923mm","15.367mm","18.923mm","15.367mm","19.348mm","T","270","100nF"
"C47","0402_C","9.779mm","14.478mm","9.779mm","14.478mm","9.354mm","14.478mm","B","0","100nF"
"C46","0402_C","4.724mm","12.446mm","4.743mm","12.446mm","4.318mm","12.446mm","T","0","100nF"
"C45","0402_C","4.724mm","11.303mm","4.743mm","11.303mm","4.318mm","11.303mm","T","0","100nF"
"C44","0402_C","11.938mm","16.459mm","11.938mm","16.466mm","11.938mm","16.891mm","B","270","100nF"
"C43","0402_C","9.398mm","9.525mm","9.398mm","9.525mm","8.973mm","9.525mm","B","0","100nF"
"C42","0402_C","13.081mm","16.459mm","13.081mm","16.466mm","13.081mm","16.891mm","B","270","100nF"
"C41","0402_C","16.256mm","11.836mm","16.256mm","11.855mm","16.256mm","12.28mm","B","270","100nF"
"C40","0402_C","4.724mm","10.16mm","4.743mm","10.16mm","4.318mm","10.16mm","T","0","100nF"
"C39","0402_C","18.542mm","11.049mm","18.542mm","11.049mm","18.967mm","11.049mm","T","180","100nF"
"C38","0402_C","12.573mm","9.804mm","12.573mm","9.823mm","12.573mm","10.248mm","B","270","100nF"
"C37","0402_C","18.542mm","12.192mm","18.542mm","12.192mm","18.967mm","12.192mm","T","180","100nF"
"C36","0402_C","17.653mm","4.318mm","17.653mm","4.318mm","18.078mm","4.318mm","T","180","100nF"
"C35","0402_C","18.542mm","13.335mm","18.542mm","13.335mm","18.967mm","13.335mm","T","180","100nF"
"C34","CASE-A_3216","14.58mm","20.625mm","14.591mm","20.626mm","14.591mm","19.316mm","B","270","10uF"
